Id,RecordTypeId,Name,IsPersonAccount,LastName,FirstName,Salutation,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,Website,Industry,AnnualRevenue,NumberOfEmployees,Description,PersonMailingStreet,PersonMailingCity,PersonMailingState,PersonMailingPostalCode,PersonMailingCountry,PersonMailingLatitude,PersonMailingLongitude,PersonMailingGeocodeAccuracy,PersonOtherStreet,PersonOtherCity,PersonOtherState,PersonOtherPostalCode,PersonOtherCountry,PersonOtherLatitude,PersonOtherLongitude,PersonOtherGeocodeAccuracy,PersonMobilePhone,PersonHomePhone,PersonOtherPhone,PersonAssistantPhone,PersonEmail,PersonTitle,PersonDepartment,PersonAssistantName,PersonLeadSource,PersonBirthdate,PersonEmailBouncedReason,PersonEmailBouncedDate,PersonIndividualId,Jigsaw,AccountSource,SicDesc,OperatingHoursId,HealthCloudGA__CarePlan__c,HealthCloudGA__IndividualId__c,HealthCloudGA__IndividualType__c,HealthCloudGA__PrimaryContact__c,HealthCloudGA__SourceSystemId__c,HealthCloudGA__MedicalRecordNumber__c,HealthCloudGA__SourceSystem__c,Example__c,HealthCloudGA__Disabled__c,HealthCloudGA__EnrollmentType__c,HealthCloudGA__Institution__c,HealthCloudGA__LowIncome__c,HealthCloudGA__MedicaidEligibilityStatus__c,HealthCloudGA__MedicareEnrollee__c,HealthCloudGA__OREC__c,HealthCloudGA__Active__c,HealthCloudGA__PayerType__c,HealthCloudGA__TaxId__c,HealthCloudGA__IndividualType__pc,HealthCloudGA__SourceSystemId__pc,HealthCloudGA__MedicalRecordNumber__pc,HealthCloudGA__SourceSystem__pc,HealthCloudGA__CountryOfBirth__pc,HealthCloudGA__Gender__pc,HealthCloudGA__PreferredName__pc,HealthCloudGA__PrimaryLanguage__pc,HealthCloudGA__SecondaryLanguage__pc,HealthCloudGA__DeceasedDate__pc,HealthCloudGA__ConvertedReferrals__pc,HealthCloudGA__TotalReferrals__pc,AlwaysTrue_c__pc,RecordType.DeveloperName,Parent.Name,PersonIndividual.Name,OperatingHours.Name,HealthCloudGA__CarePlan__r.Subject,HealthCloudGA__PrimaryContact__r.Name
0013t00001XWUNrAAP,0123t000000jtqqAAA,Shawna Green,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5003t00001AEjimAAD,0013600000PBBfsAAH1466201091839,Individual,0033t000033was5AAA,,236-14124-1,Health1-00D36000001E03d,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesIndividual;Account,,,,Shawna Greens's Care Plan,Shawna Green
0013t00001XWUNsAAP,0123t000000jtqqAAA,David Morrison,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5003t00001AEjinAAD,0013600000Pnt9KAAR1466440000420,Individual,0033t000033was6AAA,,236-55922-4,Health1-00D36000001E03d,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesIndividual;Account,,,,David Morrison's Care Plan,David Morrison
0013t00001XWUNtAAP,0123t000000jtqqAAA,Jane Hamilton,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5003t00001AEjioAAD,0013600000S01WxAAJ1467993541834,Individual,0033t000033was7AAA,,987-65321-7,Health1-00D36000001E03d,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesIndividual;Account,,,,Jane Hamilton's Care Plan,Jane Hamilton
0013t00001XWUNuAAP,0123t000000jtqqAAA,Janet Campbell,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5003t00001AEjipAAD,0013600000S01WyAAJ1467993541834,Individual,0033t000033was8AAA,,987-65421-1,Health1-00D36000001E03d,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesIndividual;Account,,,,Janet Campbell's Care Plan,Janet Campbell
0013t00001XWUNvAAP,0123t000000jtqqAAA,Charles Green,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5003t00001AEjiqAAD,0013600000Pnt9JAAR1466440000419,Individual,0033t000033was9AAA,,235-44229-3,Health1-00D36000001E03d,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesIndividual;Account,,,,Charles Green's Care Plan,Charles Green
0013t00001XWUNwAAP,0123t000000jtqqAAA,Ben Green,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0011I00000CAubZQAT1512505487654,Individual,0033t000033wasAAAQ,,,Health1-00D1I000003oKaz,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesIndividual;Account,,,,,Ben Green
0013t00001XWUNxAAP,0123t000000jtqrAAA,One Medical Group Inc,false,,,,,,,,,,,,,,,,,,,,,,1-212-530-2288,,http://onemedical.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0013A00001ZWduYQAT1549597799582,,0033t000033wasBAAQ,,,Health1-00D1I000003oKaz,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesBusiness;Account,,,,,"John Smith, MD"
0013t00001XWUNyAAP,0123t000000jtqrAAA,Ohana Health System,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0013A00001ZWdudQAD1549597908932,,0033t000033wasCAAQ,,,Health1-00D1I000003oKaz,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesBusiness;Account,,,,,Michael White
0013t00001XWUNzAAP,0123t000000jtqqAAA,Charles Manning,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0013A00001ZWdusQAD1549600868908,Individual,0033t000033wasDAAQ,,,Health1-00D1I000003oKaz,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesIndividual;Account,,,,,Charles Manning
0013t00001XWUO0AAP,0123t000000jtqqAAA,George Michael,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0013A00001ZWdv2QAD1549602281061,Individual,0033t000033wasEAAQ,,,Health1-00D1I000003oKaz,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesIndividual;Account,,,,,George Michael
