Id,RecordTypeId,Name,IsPersonAccount,AccountId,LastName,FirstName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,EmailBouncedReason,EmailBouncedDate,Jigsaw,IndividualId,HealthCloudGA__IndividualType__c,HealthCloudGA__SourceSystemId__c,HealthCloudGA__MedicalRecordNumber__c,HealthCloudGA__SourceSystem__c,HealthCloudGA__CountryOfBirth__c,HealthCloudGA__Gender__c,HealthCloudGA__PreferredName__c,HealthCloudGA__PrimaryLanguage__c,HealthCloudGA__SecondaryLanguage__c,HealthCloudGA__DeceasedDate__c,HealthCloudGA__ConvertedReferrals__c,HealthCloudGA__TotalReferrals__c,AlwaysTrue_c__c,RecordType.DeveloperName,Account.Name,ReportsTo.Name,Individual.Name
0033t000033was5AAA,0123t000000jtqmAAA,Shawna Green,false,0013t00001XWUNrAAP,Green,Shawna,,,,,,,,,,123 Mission St,San Francisco,,,USA,,,,,,,,,,,,,,,,1948-08-04,,,,,,Individual,,2361124,Health1-00D36000001E03d,,,,,,,,,false,IndustriesIndividual;Contact,Shawna Green,,
0033t000033was6AAA,0123t000000jtqmAAA,David Morrison,false,0013t00001XWUNsAAP,Morrison,David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959-04-21,,,,,,Individual,,2365592,Health1-00D36000001E03d,,,,,,,,,false,IndustriesIndividual;Contact,David Morrison,,
0033t000033was7AAA,0123t000000jtqmAAA,Jane Hamilton,false,0013t00001XWUNtAAP,Hamilton,Jane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956-09-17,,,,,,Individual,,987-654321-7,Health1-00D36000001E03d,,,,,,,,,false,IndustriesIndividual;Contact,Jane Hamilton,,
0033t000033was8AAA,0123t000000jtqmAAA,Janet Campbell,false,0013t00001XWUNuAAP,Campbell,Janet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980-01-11,,,,,,Individual,,987-654321-11,Health1-00D36000001E03d,,,,,,,,,false,IndustriesIndividual;Contact,Janet Campbell,,
0033t000033was9AAA,0123t000000jtqmAAA,Charles Green,false,0013t00001XWUNvAAP,Green,Charles,,,,,,,,,,1 Market St,San Francisco,,94105,USA,,,,,,,,,,,trollings@salesforce.com,,,,,1963-10-25,,,,,,Individual,,2354422,Health1-00D36000001E03d,,,,,,,,,true,IndustriesIndividual;Contact,Charles Green,,
0033t000033wasAAAQ,0123t000000jtqmAAA,Ben Green,false,0013t00001XWUNwAAP,Green,Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Individual,,,Health1-00D1I000003oKaz,,,,,,,,,false,IndustriesIndividual;Contact,Ben Green,,
0033t000033wasBAAQ,0123t000000jtqmAAA,"John Smith, MD",false,0013t00001XWUNxAAP,"Smith, MD",John,Dr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Individual,,,Health1-00D1I000003oKaz,,,,,,,,,false,IndustriesIndividual;Contact,One Medical Group Inc,,
0033t000033wasCAAQ,0123t000000jtqmAAA,Michael White,false,0013t00001XWUNyAAP,White,Michael,Dr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Individual,,,Health1-00D1I000003oKaz,,,,,,,,,false,IndustriesIndividual;Contact,Ohana Health System,,
0033t000033wasDAAQ,0123t000000jtqmAAA,Charles Manning,false,0013t00001XWUNzAAP,Manning,Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Individual,,,Health1-00D1I000003oKaz,,,,,,,,,false,IndustriesIndividual;Contact,Charles Manning,,
0033t000033wasEAAQ,0123t000000jtqmAAA,George Michael,false,0013t00001XWUO0AAP,Michael,George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Individual,,,Health1-00D1I000003oKaz,,,,,,,,,false,IndustriesIndividual;Contact,George Michael,,
